Individual ID,Banked/Not
AL116,Not
AL035,Not
AL231,Not
AL163,Not
AL178,Not
AL181,Not
AL184,Banked
AL124,Banked
AL149,Not
AL091,Not
AL155,Not
AL154,Not
AL225,Not
AL075,Not
AL173,Not
AL177,Not
AL122,Not
AL194,Not
AL197,Not
AL209,Not
AL114,Not
AL147,Not
AL161,Not
AL167,Not
AL198,Not
AL201,Not
AL195,Not
AL164,Not
AL238,Not
AL234,Not
AL226,Banked
AL229,Banked
AL118,Banked
AL100,Banked
AL109,Banked
AL153,Banked
AL223,Banked
AL156,Banked
AL204,Banked
AL208,Banked
AL228,Banked
AL221,Banked
AL160,Banked
AL162,Banked
AL249,Banked
AL257,Banked
AL193,Banked
AL213,Banked
AL216,Not
AL159,Not
AL207,Not
AL186,Not