PairDate,Weather,Breeding,Food
AL204_AL208_20190523,R,Sit,No
AL193_AL213_20190523,R,No,No
AL161_AL167_20190523,O,No,Yes
AL118_AL100_20190523,S,No,No
AL160_AL162_20190523,S,No,Yes
AL122_AL194_20190524,R,Sit,No
AL114_AL147_20190524,R,Sit,Yes
AL195_AL164_20190524,R,No,Yes
AL197_AL209_20190524,M,No,Yes
AL207_AL186_20190524,S,No,Halfway
AL198_AL201_20190524,S,No,Yes
AL155_AL154_20190525,M,No,No
AL178_AL181_20190525,M,No,Halfway
AL184_AL124_20190525,M,No,Yes
AL149_AL091_20190525,S,No,No
AL116_AL035_20190526,O,No,Yes
AL173_AL177_20190526,M,Sit,Yes
AL231_AL163_20190526,S,Chick,Yes
AL225_AL075_20190526,R,Chick,Yes
AL249_AL257_20190527,S,No,No
AL238_AL234_20190527,S,No,No
AL228_AL221_20190527,S,No,No
AL223_AL156_20190527,S,No,Yes
AL226_AL229_20190527,S,No,No
AL109_AL153_20190527,S,No,Yes
AL118_AL100_20190602,M,No,No
AL161_AL167_20190602,M,Sit,No
AL160_AL162_20190602,S,No,Yes
AL204_AL208_20190602,R,Sit,Yes
AL193_AL213_20190602,M,No,No
AL184_AL124_20190603,M,No,No
AL178_AL181_20190603,M,No,No
AL149_AL091_20190603,S,No,Yes
AL155_AL154_20190603,S,No,No
AL198_AL201_20190604,R,No,Yes
AL195_AL164_20190604,R,Sit,Yes
AL207_AL186_20190604,M,Sit,Yes
AL114_AL147_20190604,S,Sit,Yes
AL122_AL194_20190604,O,No,Halfway
AL197_AL209_20190604,O,No,Yes
AL223_AL156_20190605,O,No,No
AL226_AL229_20190605,M,No,Halfway 
AL238_AL234_20190605,M,No,Yes
AL109_AL153_20190605,M,No,Yes
AL249_AL257_20190605,M,No,No
AL228_AL221_20190605,M,No,Yes
AL173_AL177_20190608,O,Sit,No
AL225_AL075_20190608,O,No,Halfway
AL116_AL035_20190608,M,No,Yes
AL231_AL163_20190608,S,No,Yes
AL225_AL075_20190612,S,No,Yes
AL173_AL177_20190612,S,Sit,No
AL184_AL124_20190612,S,No,Yes
AL207_AL186_20190617,R,Sit,No
AL109_AL153_20190617,M,No,No
AL122_AL194_20190617,O,Sit,Yes
AL198_AL201_20190617,O,Sit,Yes
AL114_AL147_20190617,S,Sit,Halfway
AL195_AL164_20190617,S,Sit,Yes
AL231_AL163_20190618,M,Sit,No
AL149_AL091_20190618,O,No,No
AL155_AL154_20190618,M,No,Yes
AL178_AL181_20190618,S,Sit,No
AL116_AL035_20190618,M,No,Yes
AL160_AL162_20190619,O,No,No
AL193_AL213_20190619,S,No,No
AL118_AL100_20190619,S,No,Yes
AL204_AL208_20190619,S,No,No
AL161_AL167_20190619,S,Sit,Halfway
AL197_AL209_20190620,S,No,No
AL228_AL221_20190620,S,Sit,No
AL226_AL229_20190620,S,No,Yes
AL249_AL257_20190620,S,No,Yes
AL223_AL156_20190620,S,No,Yes
AL238_AL234_20190620,S,No,Yes
AL109_AL153_20190623,O,No,No
AL238_AL234_20190623,O,No,Yes
AL223_AL156_20190623,O,No,Yes
AL249_AL257_20190623,O,No,Yes
AL228_AL221_20190623,M,No,No
AL226_AL229_20190623,M,No,Yes
AL231_AL163_20190624,O,Sit,Halfway
AL225_AL075_20190624,S,No,Yes
AL116_AL035_20190624,O,No,No
AL173_AL177_20190624,O,No,Yes
AL155_AL154_20190628,O,Sit,No
AL149_AL091_20190628,M,Sit,Yes
AL178_AL181_20190628,M,Sit,No
AL184_AL124_20190628,O,No,Yes
AL193_AL213_20190629,M,No,No
AL204_AL208_20190629,M,No,Yes
AL160_AL162_20190629,M,No,Yes
AL161_AL167_20190629,O,No,Yes
AL118_AL100_20190629,O,No,Yes
AL114_AL147_20190630,S,No,No
AL198_AL201_20190630,S,Sit,No
AL207_AL186_20190630,S,Sit,Yes
AL122_AL194_20190630,S,No,Yes
AL195_AL164_20190630,O,No,No
AL197_AL209_20190630,O,No,Yes
AL184_AL124_20190702,M,No,No
AL178_AL181_20190702,O,Sit,Yes
AL155_AL154_20190702,O,Sit,Yes
AL149_AL091_20190702,S,Sit,Yes
AL223_AL156_20190703,S,No,No
AL228_AL221_20190703,S,No,No
AL238_AL234_20190703,S,No,Yes
AL226_AL229_20190703,S,No,Yes
AL249_AL257_20190703,S,No,Yes
AL109_AL153_20190703,S,No,Yes
AL225_AL075_20190704,M,No,No
AL116_AL035_20190704,M,No,Yes
AL173_AL177_20190704,M,No,Yes
AL231_AL163_20190704,M,Sit,Yes
AL122_AL194_20190705,S,Sit,No
AL197_AL209_20190705,S,Sit,Yes
AL198_AL201_20190705,S,No,Yes
AL195_AL164_20190705,S,Sit,Yes
AL114_AL147_20190705,S,No,Yes
AL161_AL167_20190710,S,No,No
AL160_AL162_20190710,S,No,No
AL118_AL100_20190710,S,No,Yes
AL193_AL213_20190710,S,No,Yes
AL204_AL208_20190710,S,No,Yes
AL149_AL091_20190712,S,No,Yes
AL184_AL124_20190712,S,No,Yes
AL178_AL181_20190712,S,Chick,Yes
AL155_AL154_20190712,S,Sit,Yes
AL116_AL035_20190713,S,No,No
AL173_AL177_20190713,S,No,No
AL231_AL163_20190713,S,No,Yes
AL225_AL075_20190713,S,No,Yes
AL118_AL100_20190718,S,No,No
AL204_AL208_20190718,S,No,No
AL161_AL167_20190718,S,No,Yes
AL160_AL162_20190718,S,No,Yes
AL193_AL213_20190718,S,No,Yes
AL249_AL257_20190719,O,No,No
AL226_AL229_20190719,O,No,Yes
AL228_AL221_20190719,S,No,Yes
AL109_AL153_20190719,S,No,Yes
AL238_AL234_20190719,S,No,No
AL223_AL156_20190719,S,No,Yes
AL195_AL164_20190720,S,Sit,No
AL207_AL186_20190720,S,No,No
AL197_AL209_20190720,S,Sit,Yes
AL114_AL147_20190720,S,No,Yes
AL198_AL201_20190720,S,No,No
AL122_AL194_20190720,S,No,Yes
AL216_AL159_20190525,S,Sit,Yes
AL216_AL159_20190603,S,Sit,Yes
AL216_AL159_20190612,S,No,No
AL216_AL159_20190628,O,No,Yes
AL216_AL159_20190702,S,No,Yes
